words,nos,translation
tekið,241,taken
fisk,241,fish
útskũrt,241,exterminate
stökk,241,jumped
Norman,241,Norman
Morgan,240,Morning
njķttu,240,new
tekin,240,took
barinn,240,beateed
langur,240,long
drekkur,240,drink
stelpuna,240,girl
Bandaríkjamenn,240,Americans
bát,240,boat
ánægjulegt,240,pleasurable
lyftu,240,promotion
orđum,239,request
dreymir,239,dream
endanum,239,end
skiptu,239,la
fangelsinu,239,imprison
drauma,239,dream
hræđa,239,horror
settur,239,set
neina,239,nothing
loforđ,239,promise
tegund,239,type
ver,239,be
kyrrt,238,still
drífiđ,238,escape
vélina,238,machine
tapađ,238,lose
vegi,238,path
brúđkaup,238,bridal
verkiđ,238,work
heiman,238,away
dama,238,lady
frekari,238,further
fæst,238,Few
n,238,n
King,237,King
tvennt,237,two
Lincoln,237,Lincoln
Carol,237,Carol
hugur,237,mind
Marty,237,Marty
fundi,237,meetings
hefja,237,hoist
fundinn,237,had
dragđu,237,deduct
hva,237,what
táknar,237,symbol
seinan,237,late
orku,236,energy
grunar,236,suspect
Roy,236,Roy
leigubíl,236,taxi
hjálpađi,236,help
undarlega,236,strangely
dauđann,236,death
pottūétt,236,pot
prins,236,prince
mein,236,harm
svín,236,pig
svartur,236,black
myrt,236,murdered
Lou,236,Lou
ūũđa,236,ũđa
uns,235,until
slæmar,235,bad
Jackson,235,Jackson
dreyma,235,dream
hægur,235,slow
sambandiđ,235,relationship
opniđ,235,open
lyfta,235,lift
tennurnar,235,the teeth
atriđi,235,atriđi
flaug,234,fly
meõ,234,during
ūegiđ,234,ūegi
nógu,234,enough
oss,234,us
grípa,234,grab
panta,233,order
losađu,233,release
vakt,233,watch
skoti,233,shot
kennari,233,coach
hverjar,233,what
ráđist,233,command
rúm,233,bed
framundan,233,until
kjöt,233,meat
bestur,233,best
Don,233,Den
gríptu,232,grab
ūjķnustu,232,ūjķniest
sneri,232,twist
boriđ,232,drill
verði,232,price
gagn,232,benefit
hķ,232,hķ
karlmađur,232,male
auka,232,augment
játa,232,confess
ūrífa,232,proposal
vatninu,232,the water
stökktu,232,jap
tækifæriđ,231,opportunity
Richie,231,Richie
Francisco,231,Francisco
orð,231,word
minningar,231,memories
gengi,231,rate
kysstu,231,kiss
traust,231,trust
kílķ,231,mile
valdiđ,231,authority
me,231,Me
gildir,231,applies
þekki,231,know
vanalega,231,usually
rassgat,231,behind
þessar,230,these
karlinn,230,man
Travis,230,Trust
brosa,230,smile
öld,230,century
skepna,230,creature
Josh,230,Josh
x,230,x
Benjamin,230,Benjamin
skulir,230,clarity
hinar,230,the
skapi,230,mood
tilbođ,229,offer
vega,229,weigh
ūrjátíu,229,ūrjy
Howard,229,Howard
Ethan,229,Ethan
drenginn,229,boy
fötum,229,clothes
skipa,229,order
dauđi,229,dead
sérstök,228,special
skrímsli,228,monster
bíða,228,wait
verkefniđ,228,task
saknađi,228,miss
a.,228,a.
eyju,228,island
tekurđu,228,taking
flũgur,228,flies
drekktu,228,drink
útvega,228,provide
variđ,227,certificate
stöđvađu,227,stump
komir,227,arrival
færum,227,capable
merkir,227,mark
lok,227,lid
sit,227,sit
svart,227,black
Mitch,227,Mitch
annt,227,love
Carlos,227,Carlos
lögreglumađur,227,police office
dölum,227,valley
pio,227,pI
gefum,227,giving
fylgst,227,follow
tekinn,227,taken
hálfan,227,half
dauđir,227,dead
tímar,226,times
skũrslu,226,report
kerfi,226,system
báđa,226,applied
konurnar,226,the women
bađst,226,begun
ör,225,arrow
Marcus,225,Marcus
eingöngu,225,only
treystir,225,trust
tákn,225,signal
algjört,225,complete
Hank,225,Coach
koss,225,kiss
slíku,225,such
tilkynna,225,notify
hei,224,hey
raunverulega,224,actually
vikiđ,224,waiting
keyrđu,224,run
vopnin,224,the weapons
skulda,224,owe
tengsl,223,link
tali,223,speech
staðar,223,present
Teddy,223,Teddy
hķp,223,hķp
stađan,223,steady
Flũtiđ,223,Fling
dķt,223,dķt
afhverju,223,why
glápa,223,boy
bandaríska,223,American
veginum,222,road
lék,222,play
sæta,222,cute
lykilinn,222,the key
mennina,222,men
létt,222,light
liđsforingi,222,leader
lũsa,222,light
frægur,222,famous
ūurftir,221,soil
eyddi,221,delete
aIdrei,221,aidrei
bátnum,221,boat
snúast,221,twist
eiginkona,221,wife
elskađ,221,love
jörđu,221,Jörony
högg,221,blow
mætt,220,met
næstur,220,next
ađgerđ,220,at
sársauka,220,pain
sannanir,220,evidence
dags,220,day
hélst,220,persistent
töluđum,220,spins
samhryggist,220,condolences
kaupir,220,purchasers
hanga,220,hang
ástandiđ,220,condition
Stöđviđ,219,Check
ljķmandi,219,abundant
myndavélina,219,camera
stíga,219,step
hurđina,219,door
gildi,219,value
Hal,219,Hal
tapar,219,loss
persķnulegt,219,personal
svolítið,219,slightly
áríđandi,219,yearal
báđar,219,applaud
tímabært,219,overdue
tekist,218,succeeded
mikilli,218,great
Jo,218,Jo
brjáluđ,218,carton
hvaō,218,what
ríki,218,state
vísa,218,manner
jörđina,218,the Jöđina
særa,218,hurt
fimmtíu,218,fifty
lykillinn,218,key
Red,218,Red
Linda,218,Spring
kerfiđ,218,system
takast,218,address
yrði,218,should
martröđ,217,nightmare
ræða,217,address
upptekin,217,busy
brjķstin,217,Breast
erindi,217,errand
big,217,big
efniđ,217,substance
hamingjusamur,217,happy
herramenn,217,gentlemen
indæl,217,nice
bođi,216,bid
morgni,216,morning
Cole,216,Cole
lögfræđingur,216,liben
ViItu,216,We
gagnvart,216,on
borđinu,216,ribbon
mjķlk,216,milk
brot,216,fragment
áætlunin,216,the plan
eyjunni,216,island
stķrmál,216,control
Wilson,216,Wilson
gķlfiđ,215,gum
kennir,215,teaches
sigrar,215,victory
hættulegur,215,hazardous
beita,215,employ
prķsent,215,print
varir,215,lip
forseta,215,president
hjķnaband,215,braid
læturđu,215,let
minntist,215,recalled
augljķslega,214,obviously
Collins,214,Collins
Raymond,214,Raymond
öðrum,214,others
notiđ,214,use
tíkin,214,bitch
handlegginn,214,arm
brotiđ,214,fracture
erfiđ,214,years
Marie,213,Marie
rennur,213,slides
sekur,213,guilty
gátu,213,could
dálítið,213,somewhat
ķk,213,ķk
hugmyndin,213,the idea
berast,213,fight
White,213,White
ūrisvar,213,exile
Caroline,213,Caroline
keppa,213,compete
persķnulega,213,personal
raunar,213,Actually
kvarta,213,complain
setiđ,212,restriction
aktu,212,action
nũjar,212,nuclei
bróðir,212,brother
línu,212,line
ūjķfur,212,ūffur
snerti,212,related
lifđi,212,living
tķkstu,212,cure
Rob,212,Rob
börnunum,212,the children
skyldu,212,obligation
lokið,212,finished
giska,212,guess
afganginn,211,the rest
sérstakur,211,particular
vandlega,211,carefully
lauk,211,onion
áfengi,211,liquor
vondur,211,evil
viđbrögđ,211,arrow
fullri,211,full
opin,211,open
Englandi,211,England
myrtur,211,murdered
sjálfri,211,themselves
sum,211,some
færiđ,210,town
binda,210,bind
leyst,210,solved
skilurðu,210,Do you understand
ágætlega,210,well
hvítur,210,White
færð,210,get
ríkir,210,rich
alger,210,absolute
vor,210,our
sendiđ,210,send
létu,210,do you
eltu,210,chase
Pat,210,Pat
Jean,210,Jean
sķa,209,la
ér,209,you
þínu,209,your
hugsanir,209,thoughts
misstum,209,lost
sérlega,209,separately
brjálæđi,209,crazy
heyrði,209,heard
sinnar,209,of his
barnum,209,bar
hverfur,209,disappears
Street,209,Street
greitt,209,fast
el,209,eel
fķtum,209,numbers
síðasta,209,last
afsakađan,209,apologize
andskotanum,208,dam
fanga,208,capture
lítum,208,look
einkum,208,especially
ūā,208,ūā
lögmađur,208,lawmaker
glæsileg,208,elegant
Jackie,208,Jackie
rán,208,robbery
kaupi,208,buy
uss,208,USS
andlitinu,208,the face
Jesse,208,Jesse
Tristan,207,TRISTAN
ūvo,207,dvo
rak,207,drive
skyldir,207,duties
ķmeidd,207,ķMeid
skjátlast,207,errone
gátum,207,riddle
möguleiki,207,possibility
bjargađir,207,res The
Guy,207,Guy
Pan,207,Pan
magnađ,206,could
einhverjir,206,some
engill,206,angel
myndavél,206,camera
vagninn,206,wagon
hvítu,206,white
bíla,206,Cars
svarađ,206,reply
tilfinning,206,sense
sölu,206,sale
vaknađi,206,awake
sleppi,206,switch
draum,206,dream
Icelandic,205,Icelandic
ūjķna,205,ūjķna
leitiđ,205,search
sker,205,cut
harđur,205,hard
eiginmađur,205,husband
Gordon,205,Gordon
vaknar,205,wakes up
Jeminn,205,Yem
græđa,205,gray
gefðu,205,give
rķa,205,cry
stigann,205,laine
Neil,205,Neil
vekur,204,wake
springur,204,spring
kveiktu,204,turn
Franklin,204,Franklin
einar,204,alone
byssa,204,gun
Afsakaðu,204,Sorry
völdum,204,power
ũta,204,ease
ætlaði,203,was going to
athugađu,203,see
skjóta,203,shoot
rķađu,203,rķađu
fjárans,203,money
ráđum,203,conference
manneskjur,203,people
skemmti,203,fun
klippa,203,shear
buxurnar,203,pants
felur,203,hold
skķginum,203,ski
bjóða,203,offer
strákana,203,the boys
íbúđinni,202,apartment
Joseph,202,Joseph
Cal,202,Calc
kyrrir,202,still
ljúfan,202,sweet
kæmist,202,could get
hlustaðu,202,listen
stans,202,ground
gleymdir,202,forgetful
svör,202,answers
ūķtti,202,ķtti
barđist,201,fight
ána,201,river
syngur,201,sing
friđ,201,free
vélar,201,machines
tókst,201,successfully
björn,201,bear
komust,201,come
m,201,m
sannar,201,true
næđi,201,tent
klikkađur,201,click
Liz,201,Liz
kvöldin,201,night
rífa,201,tear
gleymir,201,forgets
María,201,More
græna,201,green
ætlast,200,plan
Jill,200,Jill
gá,200,cap
nein,200,any
Vince,200,Vince
rassinum,200,ass
Þegiðu,200,shut up
lögreglunnar,200,the police
kampavín,200,champagne
Miami,200,Miami
faliđ,200,bear
sannur,200,True
öryggis,200,safety
barni,199,child
Freddi,199,Forth
hegđun,199,conduct
skķ,199,skull
kjķl,199,tack
met,199,record
sendur,199,sent
íhuga,199,consider
jafnvægi,199,balance
verndar,199,protection
sniđugt,199,tremendous
selur,199,seal
verkum,199,dey
götuna,199,street
mátti,199,could
ķtrúlegur,198,ķ religious
sígarettu,198,cigarette
einbeita,198,focus
geyma,198,retain
störf,198,jobs
listanum,198,the list
heimild,198,grant
sonar,198,son
eltir,198,chase
tvöfalt,198,double
rekur,198,operate
vegginn,198,wall
lũst,198,end
sparka,198,kick
slķ,197,slķ
felum,197,hide
blađiđ,197,news
Nelson,197,Nelson
árs,197,half
Iíka,197,Play
toga,197,pull
foreldrum,197,parents
versla,197,trade
brott,197,away
borđum,197,tables
algerlega,197,totally
henti,197,suitable
Boston,197,Boston
springa,197,explode
Manhattan,197,Manhattan
merkilegt,197,important
tennur,197,teeth
Kim,197,Kim
drukkinn,197,drunk
ūykjast,196,assault
gleymum,196,forget
yður,196,you
opnum,196,open
náđir,196,favor
töskunni,196,bag
vandinn,196,problem
starfar,196,rock
opiđ,196,open
urđum,196,storms
prestur,196,priest
loftinu,196,air
líki,196,image
jarđar,196,earth
rithöfundur,196,writer
sv,195,so
ræfill,195,loser
fjandakorniđ,195,fucking
vakti,195,awake
slapp,195,escape
hķpnum,195,hay
h,195,h
fötunum,195,clothing
leiðinni,195,the way
bũrđ,195,buoy
Molly,195,Mo
Christian,195,Christian
stærra,195,bigger
vön,195,lady
íbúđina,195,apartment
bķkin,195,bķkin
reiđufé,194,red
poka,194,bag
Times,194,Ceremony
snöggur,194,quick
hausnum,194,head
mæti,194,attend
verour,194,be
kallarđu,194,call
ķtrúleg,194,sustainable
Harris,194,Harris
Pétur,194,Peter
lyktina,193,smell
hest,193,horse
lofađir,193,promise
Dallas,193,Dallas
hefđirđu,193,Heady
ađgang,193,involvement
dú,193,fe
himnum,193,heaven
vlđ,193,present
horfin,193,prospect
stein,193,stone
krökkunum,193,trash
veskiđ,192,wallet
barna,192,children
Abby,192,Abby
fyrirmæli,192,commandment
öruggur,192,secure
ársins,192,year
gætuđ,192,could
myrđa,192,mine
veldu,192,choose
jā,192,jā
Sonny,192,Sonny
hafðu,192,have
núll,192,zero
umferđ,191,round
lofađu,191,promise
minnast,191,recall
veislu,191,party
gráđur,191,asser
venjulegur,191,normal
klķsettiđ,191,clutch
orđa,191,word
hugrakkur,191,brave
Gina,191,Mannequin
heppni,191,luck
Kong,191,King
fangi,191,prisoner
hlutur,191,object
leyfum,191,leave
fjögurra,190,four
Andy,190,Andy
viđtal,190,count
eigđu,190,own
kvenna,190,female
hræddir,190,frightened
slæma,190,bad
spurningum,190,questions
velti,190,turnover
bregđast,190,respond
dķu,190,dķu
hreinskilinn,190,direct
fólki,190,people
duga,190,enough
standiđ,190,position
Stone,190,Stone
neđan,190,Next
Harold,190,Harold
spil,190,game
hádegi,190,noon
gķđs,190,gķđs
nætur,189,nights
mættur,189,attend
sáu,189,saw
öllsömul,189,all
skylda,189,duty
ķlétt,189,ķLeted
skipunum,189,appointment
tapađi,189,lose
liđin,189,lodging
fundið,189,found
lærir,189,learners
leyfđi,189,Allow
fingur,189,finger
stađa,189,Stand
snúum,188,turnout
rautt,188,Red
kveikt,188,on
varađu,188,spare
Kanada,188,Canada
Anne,188,Anne
ömurlegur,188,desolate
borgarinnar,188,the city
veI,188,fare
bér,188,bike
boltanum,188,ball
samúđ,187,compass
stjķrnađ,187,star
lyktar,187,smell
svörtu,187,black
sofna,187,fall asleep
húsið,187,the House
beygja,187,turn
dũri,187,dew
lítið,187,little
talandi,187,talking
eldinn,187,fire
héldu,187,hold
hvílík,187,what
prķf,187,try
sjúkrabíl,187,ambulance
drottning,187,queen
ræddum,187,discussed
félagsskap,187,company
velkomnir,187,Welcome
teljum,187,believe
hverfinu,187,neighborhood
léstu,187,let
mínútna,187,minute
áttina,186,direction
dagana,186,days
ævintũri,186,fairy
skotmark,186,target
slíka,186,such
Ted,186,Ted
fegurđ,186,beauty
viljið,186,will
kenni,186,standard
lögreglustjķri,186,police
morđiđ,186,morned
gögn,186,data
kortiđ,186,card
áhorfendur,185,audience
fimmta,185,fifth
línunni,185,the line
bana,185,death
dreng,185,boy
saknađ,185,miss
Carrie,185,Carrie
morđinginn,185,murder
Lance,185,Lance
olli,185,gone
finnist,185,feel
strönd,185,beach
fiskur,185,fish
borgin,185,the city
hleypiđ,185,firing
aldur,185,age
liđinu,185,li
venjulegt,185,normal
Dick,184,Dick
háls,184,throat
æsandi,184,sensational
skildir,184,land
unnum,184,worn
bķkinni,184,buoy
sannađ,184,prove
svalur,184,cool
hringdir,184,called
eign,183,property
stór,183,big
Freddie,183,Freddie
Dennis,183,Den
Albert,183,Albert
virkađi,183,function
vonast,183,hope
ķlíkt,183,ķ like
hefjast,183,start
vont,183,bad
Rossi,182,Ross
skrambinn,182,scrap
hjálpað,182,help
snerist,182,turned
mikli,182,great
fjölskyldunnar,182,family
innilega,182,sincerely
opnast,182,ope
Crewe,182,Crew
sef,182,sef
skammt,182,near
ũttu,182,ũT you
lifum,182,live
ánni,182,river
skella,182,slap
sid,181,side
auđveldara,181,easier
brauđ,181,bread
vinstra,181,left
samdi,181,negotiated
andi,181,mind
sigrađ,181,conquer
hindra,181,hinder
slær,181,sore
Colin,181,Colin
fulltrúa,181,delegate
Gwen,181,Gwen
sagðirðu,181,did you say
kjáni,181,silly
Anthony,181,Anthony
kæru,180,Dear
nķttu,180,enjoyed
draumar,180,dreams
bũrđu,180,bug
fjarlægja,180,eliminate
sest,180,sit
gömlum,180,old
skemmtu,180,amuse
hnén,180,knee
ađdáandi,180,partner
Hunt,180,Rather
gista,180,sleep over
Stu,180,Stt
Horton,180,Horton
bið,180,wait
Robinson,180,Robinson
Sally,180,Shaly
hverfi,180,neighborhood
hníf,179,knife
skugga,179,shade
bölvun,179,curse
efninu,179,the material
yfirmann,179,bote
blár,179,blue
einir,179,alone
skipuleggja,179,hatch
hjķliđ,179,helmet
mismunandi,179,diverse
hússins,179,the house
Jamie,179,Jamie
skápnum,179,cupboard
fyrirgef,179,forgive
hinni,179,the other
nýja,179,new
bili,179,range
hetjan,179,hero
Vincent,178,Vincent
þrjú,178,three
rólegur,178,sedate
kaffiđ,178,coffee
klípu,178,wipe
gjafir,178,presents
Ruth,178,Ruth
kirkju,178,church
rugla,178,confuse
tréđ,178,tree
bilun,178,breakdown
djöfuls,177,devil
byssan,177,gun
Erin,177,Er
gulliđ,177,gold
elskum,177,lovers
Karen,177,Karen
hálfu,177,half
flest,177,most
setjist,177,see
Sue,177,Su
búast,177,expect
ađallega,177,ormally
stigi,177,ladder
velur,177,choose
ekur,177,drive
sķtt,177,","
harma,177,lament
oftast,177,most often
sækir,177,seek
hugmyndina,177,the idea
hattinn,176,hat
dķp,176,dķp
Stark,176,Stalk
geggjađ,176,give to
meir,176,more
réđst,176,undertaken
Darcy,176,Darcy
læst,176,locked
Cindy,176,Cindy
Bridget,176,Bridget
yfirgefiđ,176,desert
stundinni,176,time
ferđina,176,travel
stađreynd,176,fact
slökkt,176,off
stofna,176,establish
vannst,176,won
merkiđ,176,mark
skipi,175,ship
gerðir,175,type
stúlkunni,175,girl
gķlfinu,175,wisdom
beinlínis,175,straight
ūraukađu,175,ūraukađu
landsins,175,country
stķrum,175,stķrum
Marvin,175,Marble
hliđar,175,move
dottiđ,175,daughter
yrđu,175,would
gleđi,175,joy
Jacob,175,Jacob
ūvílík,175,dign
ūörfnumst,175,dignitant
klúđrađi,175,club
Robbie,174,Robbie
sigla,174,mast
neitar,174,refuses
stöđum,174,stand
Brown,174,Brown
litlar,174,small
breyttist,174,changed
bíðið,174,wait
bregst,174,react
augljķst,174,obvious
leikurinn,174,the game
glæpur,174,crime
ķlöglegt,174,“Legal
gamaldags,174,antique
bláa,173,blue
braust,173,broken
fyrirgefa,173,forgive
drullusokkur,173,mud
leikari,173,actor
gras,173,grass
völ,173,choice
súkkulađi,173,Suck
nýtt,173,new
fet,173,foot
ķskar,173,ek
takið,173,take
svíkja,173,deceive
City,173,City
snertu,173,touch
klúđra,173,club
blæđir,173,tense
köttur,173,cat
síst,172,least
yrđum,172,room
frelsa,172,free
fjandi,172,faach
veröld,172,nature
bætt,172,improved
Kenny,172,Kenny
biðja,172,pray
drukkiđ,172,drink
blķđiđ,172,blues
mættir,172,present
ūjálfi,172,ū
frábærlega,172,extremely
hljķma,172,sound
Martha,172,Martha
rakst,172,discovered
laust,172,loose
fjölda,172,many
Berlín,171,Berlin
missum,171,loss
nũjum,171,nũ
Hannah,171,Hannah
bũsna,171,bas
gætiđ,171,might
nefndi,171,committee
Katie,171,Katie
Steven,171,Steven
blekkja,171,deceive
hreyfđu,171,move
sũniđ,171,program
gáđu,171,could
ansans,171,anchor
ūekkjum,171,rut
ástand,171,state
strákunum,171,the boys
hliđiđ,171,while
sjálfsmorđ,171,autonomous
athyglisvert,171,interesting
lit,171,colour
lestina,171,train
J.,171,J.
sjķn,171,te
skilríki,170,deed
Gus,170,Eruption
mikilvæg,170,important
ūriđju,170,day
Ellie,170,Ellie
lagsi,170,stroke
redda,170,fix
skömm,170,shame
Kennedy,170,Kennedy
hægđu,170,slow
Mickey,170,Mickey
helling,170,lot
margra,170,many
Flķrída,170,Fling
lestin,170,train
bita,170,piece
Meg,170,Mel
Leon,170,Leon
skemmt,170,entertained
talađir,170,speak
sækiđ,170,applies
hurđinni,169,door
yðar,169,your
bíķ,169,bee
ūúsundir,169,ūsunds
söng,169,song
Hitler,169,Hitler
talað,169,spoken
leiđur,169,trajectory
angra,169,frustrate
ūjálfari,169,ward
sveit,169,province
Jaeja,169,Well
fundist,169,found
parna,169,pair
trúađ,169,believe
rosalegt,168,terrible
hvílíkur,168,how it's
hundar,168,dogs
plánetu,168,planet
vaxa,168,develop
finni,168,find
Victor,168,Victor
yndisleg,168,lovely
viđurkenna,168,advice
heilann,168,whole
lát,168,point
föður,168,father
breytingar,168,changes
Miles,168,Mile
svarađi,168,reply
ūjálfun,168,This
réttur,168,right
ķlst,168,ml
svikari,168,traitor
Chuck,168,Chuck
hleypur,168,runs
ferskt,168,fresh
snjall,168,clever
vélarnar,168,the machines
ūakinu,167,ūakinu
deginum,167,day
skepnan,167,creature
Jesú,167,Jesus
flösku,167,bot
Anderson,167,Anderson
beina,167,direct
langađ,167,long
frā,167,frā
stjķrnstöđ,167,star
berjumst,167,fight
sũnum,167,sim
sagðist,167,said
Kvíddu,167,Venth
stöđvar,167,corporate
ađgangur,167,aiming
móti,167,against
borð,167,table
stöđina,167,the stand
Kansas,167,Kansas
júlí,167,July
sleppur,166,escape
kalli,166,call
Ítalíu,166,Italy
fólkið,166,the people
glugga,166,window
Murphy,166,Murphy
samskipti,166,intercourse
buxunum,166,buns
flugvélinni,166,the airplane
ūessarar,166,these
skilabođin,166,message
alltof,166,too
andanum,166,spirit
hefna,166,avenge
Sophie,166,Sophie
skađa,166,scare
upplũsingum,166,disclosure
vinkonur,166,friends
stöđinni,166,position
hķra,166,hatch
láti,166,beloved
heilt,165,whole
myrkrinu,165,dark
passiđ,165,pass
ráđi,165,advice
jörđ,165,earth
tækni,165,technology
sannfæra,165,convince
deyrđ,165,die
náði,165,caught
lengri,165,longer
lokuđ,165,finish
hendinni,165,hand
leiddi,165,lead
nægan,165,enough
vinnan,165,work
opinn,165,open
byggt,165,built
dollarar,165,dollars
klessu,165,clip
meiriháttar,165,major
ljķtt,165,lightly
Cooper,164,Cooper
Adams,164,Adams
búi,164,farm
dũrin,164,Dũr
paõ,164,paÕ
yfirgaf,164,leave
vĄđ,164,and
virki,164,fortress
skotin,164,shot
keyrir,164,runs
Santa,164,Santa
Orleans,164,Orleans
lyfin,164,the
þúsund,164,thousand
nokkurra,164,some
Frķđi,164,Freed
Önnu,163,Anna
falliđ,163,fall
rauninni,163,practice
kynæsandi,163,sexual
borđi,163,board
kring,163,boy
rætast,163,fulfill
horniđ,163,corner
bankann,163,the bank
gulli,163,gold
Brooklyn,163,Brooklyn
sorglegt,163,sad
himnaríki,163,heaven
flķtta,163,perceive
ūakklátur,163,cluster
sjálfir,163,themselves
hefnd,163,vengeance
einbeittu,162,entertain
endi,162,tip
ig,162,ig
lögregluūjķnn,162,policeūjķnn
eyđilagđi,162,Eyđilagđi
skuluđ,162,shall
leggiđ,162,contribute
talarđu,162,speaking
verđlaunin,162,wages
Kannastu,162,Conception
fuglinn,162,bird
helminginn,162,half
Harriet,162,Harriet
hentu,162,suitable
forđa,162,fore
eyrun,162,ears
tķkum,162,tķkum
kũs,162,tease
garđinn,162,yard
rauđu,162,red
Lisa,162,Literate
hækka,162,ascend
bað,161,bath
steininn,161,stone
hlaut,161,received
styđja,161,support
Ron,161,Ron
Laura,161,Laura
höfđi,161,head
heyrum,161,hear
sverđ,161,sword
sjást,161,appear
horn,161,corner
Marion,161,Marion
ma,161,ma
áratugnum,161,decades
fljúgandi,161,fly
fjölskyldur,161,families
bréfiđ,161,letter
Winston,161,Winston
vörn,161,protector
bíta,161,bite
Sawyer,161,Sawyer
drekk,161,drink
hag,161,interest
spítalanum,160,hospital
ágætur,160,fine
brúna,160,bridge
samtal,160,conversation
kemstu,160,Get
varđst,160,become
Víetnam,160,Vietnam
réđ,160,counsel
síðar,160,after
heit,160,pledge
flugi,160,flight
bakinu,160,back
gildra,160,trap
hreinn,160,natural
uppáhalds,160,favorite
sérhver,160,everybody
opnađ,160,open
brást,160,fail
hlũt,160,cover
einfaldlega,160,simply
öðru,160,other
nefndu,160,mention
getað,160,could
ų,160,ų
spilađ,160,play
skítt,159,dirty
manneskjan,159,person
haga,159,conduct
ķsk,159,ķsk
veri,159,being
slappađu,159,relax
öII,159,another
veggnum,159,wall
Grace,159,Grace
læti,159,pity
â,159,Â
stiga,159,stairs
leiđist,159,blow
dugar,159,efficient
sérstaka,159,separate
fullan,159,complete
Barbara,159,Barbara
lækna,159,heal
fegin,159,beauty
efst,159,highest
reikninginn,159,the bill
ađlađandi,159,alarming
sátt,158,true
drakk,158,drink
rugli,158,confusion
meō,158,me
Park,158,Park
hittum,158,cherish
dreymt,158,dreamy
miklir,158,extensive
lendum,158,coast
bao,158,bao
Clyde,158,Clyde
Popper,158,Popper
hvítt,158,White
neins,158,anything
Leo,158,Leo
kennsl,158,recognition
hun,158,she
Bernard,158,Bernard
eiturlyf,158,drugs
hent,158,birth
hreyfingu,158,movement
erfiđur,157,difficult
fæddur,157,born
innri,157,inner
nķvember,157,November
Davis,157,Davis
gildru,157,trap
fjáranum,157,the pasture
mæli,157,measure
vikuna,157,week
séuđ,157,be
sjķnvarp,157,television
lágt,157,low
Emma,157,Emma
stráknum,157,boy
frönsku,157,French
stuttu,156,short
dóttur,156,daughter
fínu,156,fine
fréttum,156,news
afsökun,156,apology
hvíti,156,white
stjķrinn,156,star
uppreisn,156,uprising
tilfinningu,156,sense
paô,156,pa
stúlkurnar,156,The girls
dó,156,died
hringiđ,156,call
beinni,156,straight
stelpum,156,girls
heimsk,156,stupid
sjaldan,156,seldom
búist,156,are expected
hræđileg,156,conceal
borđađu,156,eating
nánar,156,farther
barnið,155,the baby
ađstođarmađur,155,Antođarmađur
þessir,155,these
Dad,155,Dad
botn,155,bottom
mikilvægur,155,important
hljómar,155,sounds
fáðu,155,Get
réđi,155,counsel
almennilega,155,properly
afsaka,155,apologize
bendir,155,suggests
örlögin,155,destiny
sáuđ,155,saw
samiđ,155,same
andann,155,breath
keyrt,155,run
svei,155,wonder
niðri,155,down
sveik,155,betrayal
tak,155,gas
seattle,155,seattle
fyrirtækinu,155,the company
seinni,155,later
höfn,155,harbor
sækjum,155,approve
by,155,live
nokkurs,155,somewhat
sönnun,155,proof
föstudaginn,154,Friday
þekkir,154,knows
hægra,154,right
birta,154,dawn
þrír,154,three
Todd,154,Todd
angrar,154,prove
sætta,154,reconcile
Dolly,154,Dolly
Nicholas,154,Nicholas
færðu,154,Move
gaurar,154,guy
útvegađ,154,provide
sambönd,154,relationships
frábæra,154,wonderful
fķrna,154,clarinate
ūekkiđ,154,ekkiđ
reyniđ,154,try
sláđu,154,craving
sprakk,154,explode
búđinni,154,camp
gamlan,154,old
tũndi,154,intercourse
tilfelli,154,case
stjörnurnar,153,the stars
æfingu,153,practice
ķhult,153,ķhult
ljķsi,153,light
peim,153,peim
vitaskuld,153,obvious
ákvarđanir,153,determination
skítur,153,dirt
dæmdur,153,judged
Green,153,Green
rúmlega,153,over
myrkur,153,darkness
hringur,153,circle
ūriđji,153,ūriđi
klæđa,153,dinner
ķttađist,153,ķtta
misskilningur,152,misunderstanding
reyndir,152,tested
sviđ,152,aircraft
viđbúinn,152,curly
forsetans,152,the president
heimilisfang,152,address
hlũđa,152,sound
hringurinn,152,ring
Lewis,152,Lewis
þann,152,that
vikunni,152,week
brostu,152,smile
min,152,min
nũtur,152,attend
sögunnar,152,saw
friđur,152,free
rosa,152,pink
rķlegir,152,pleasant
eđli,151,editor
fresti,151,everyday
dóttir,151,daughter
raunveruleg,151,real
viđvörun,151,warning
dásamleg,151,wonderful
fķtunum,151,fillers
getið,151,can
auđveldlega,151,easily
rekiđ,151,operate
mönnunum,151,humans
May,151,May
skaust,151,shot
heilanum,151,brain
ávísun,151,check
skemmtum,151,entertaining
ķsanngjarnt,151,ķSenic
plata,151,record
felst,151,hike
röngum,151,wrong
vopniđ,151,arms
móðir,151,mother
sameiginlegt,151,in common
dregiđ,151,slow
gleraugun,150,glasses
Stanley,150,Stanley
hestur,150,horse
myrtir,150,murder
símanúmeriđ,150,phone number
Truman,150,Faithful
elt,150,chase
heilan,150,whole
blessun,150,blessing
jafnt,150,equally
máta,150,manner
fyrrum,150,formerly
glöđ,150,hallowment
hvítum,150,white
einstakur,150,unique
kraft,150,power
drottningin,150,queen
beit,150,bait
hugann,150,mind
hatt,150,hat
foringinn,149,leader
snýst,149,spin
berđu,149,beright
Gjörðu,149,Do
hķfst,149,assumed
blindur,149,blind
